DEPTH,ROP,WOB,CO2,CH4,H2S,TEMPIN,TEMPOUT,FRACT,MUDLOSS,QUARTZIT,CALCITE,PYRITE,HEMATITE,EPIDOTAL,CHLORITE,ANHYDRIT,SERICITE,PP,SPM1,SPM2,FLOWIN,FLOWOUT%,GAINLOSS,RPM,TORQUE,PITVOL,TUFFASH ,RHYOLITE,BASALT,VOLCAN,ANDESITE,DACITE,TUFFCRYS,VOLCSEDI,CHERTARG,MARL,CLAYST%,CLAY%,SILTST%,SANDST%,SAND%,MEDSAND%,CRSSAND
173,147,0,206,0,0,61,62,0,0,0,0,0,0,0,0,0,0,671,99,104,670,36,0,49,0,200,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
174,83,0,206,0,0,62,61,0,0,0,0,0,0,0,0,0,0,723,99,103,670,37,0,49,0,199,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
175,266,0,227,0,0,62,63,0,0,0,0,0,0,0,0,0,0,707,99,102,673,36,0,52,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
176,333,0,227,0,0,62,63,0,0,0,0,0,0,0,0,0,0,692,99,102,676,35,0,54,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
177,312,0,227,0,0,63,63,0,0,0,0,0,0,0,0,0,0,676,99,102,673,35,0,55,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
178,345,0,227,0,0,63,63,0,0,0,0,0,0,0,0,0,0,676,99,102,670,35,0,55,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
179,379,0,227,0,0,63,63,0,0,0,0,0,0,0,0,0,0,676,99,102,670,35,0,55,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
180,376,0,227,0,0,63,63,0,0,0,0,0,0,0,0,0,0,692,99,103,670,35,0,55,0,196,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
181,365,0,227,0,0,63,63,0,0,0,0,0,0,0,0,0,0,692,99,103,670,34,0,55,0,204,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
182,372,0,227,0,0,63,63,0,0,0,0,0,0,0,0,0,0,692,100,104,668,34,0,55,0,204,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
183,386,0,206,0,0,62,63,0,0,0,0,0,0,0,0,0,0,670,101,103,668,37,0,57,0,202,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
184,251,0,206,0,0,63,63,0,0,0,0,0,0,0,0,0,0,670,101,103,668,37,0,57,0,202,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
185,288,0,206,0,0,63,64,0,0,0,0,0,0,0,0,0,0,667,101,102,665,39,0,57,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
186,322,0,206,0,0,63,65,0,0,0,0,0,0,0,0,0,0,728,101,102,665,38,0,57,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
187,344,0,206,0,0,62,65,0,0,0,0,0,0,0,0,0,0,671,101,101,662,38,0,57,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
188,297,1,206,0,0,61,63,0,0,0,0,0,0,0,0,0,0,663,101,102,665,38,0,58,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
189,127,0,206,0,0,62,63,0,0,0,0,0,0,0,0,0,0,715,101,102,665,36,0,59,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
190,188,0,206,0,0,61,62,0,0,0,0,0,0,0,0,0,0,677,101,103,668,35,0,61,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
191,225,0,206,0,0,63,62,0,0,0,0,0,0,0,0,0,0,672,101,103,668,35,0,62,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
192,306,0,206,0,0,62,62,0,0,0,0,0,0,0,0,0,0,661,101,102,665,36,0,62,0,199,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
193,247,0,206,0,0,62,62,0,0,0,0,0,0,0,0,0,0,661,101,101,662,35,0,61,0,199,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
194,267,0,206,0,0,63,62,0,0,0,0,0,0,0,0,0,0,655,101,102,665,36,0,59,0,199,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
195,248,0,206,0,0,62,62,0,0,0,0,0,0,0,0,0,0,667,101,102,665,35,0,57,0,199,0,0,0,0,0,0,0,0,0,0,0,70,0,0,30,0,0
196,390,0,206,0,0,62,62,0,0,0,0,0,0,0,0,0,0,761,101,102,665,38,0,51,0,199,0,0,0,0,0,0,0,0,0,0,0,70,0,0,30,0,0
197,654,0,206,0,0,62,62,0,0,0,0,0,0,0,0,0,0,678,101,103,668,35,0,51,0,199,0,0,0,0,0,0,0,0,0,0,0,70,0,0,30,0,0
198,378,0,206,0,0,62,62,0,0,0,0,0,0,0,0,0,0,684,101,103,668,37,0,50,0,199,0,0,0,0,0,0,0,0,0,0,0,70,0,0,30,0,0
199,445,0,206,0,0,62,62,0,0,0,0,0,0,0,0,0,0,685,101,103,668,38,0,49,0,199,0,0,0,0,0,0,0,0,0,0,0,70,0,0,30,0,0
200,497,0,206,0,0,63,62,0,0,0,0,0,0,0,0,0,0,692,101,103,668,38,0,49,0,199,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
201,435,0,212,0,0,63,63,0,0,0,0,0,0,0,0,0,0,664,101,103,668,40,0,52,0,199,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
202,563,0,212,0,0,62,64,0,0,0,0,0,0,0,0,0,0,685,101,103,668,36,0,54,0,199,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
